Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4g53mzkbA9mc6wSiecywhc,"הנה הנה","מתי כספי (1976)","מתי כספי",1976-10-01,328053,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:28:14Z,"","NMC United Entertainment Ltd.",0.544,0.691,5,-8.654,0,0.0765,0.564,0.00000972,0.151,0.411,94.808,4
spotify:track:5E8kT0lv1GzML6FVbfzkiH,"שמש, שמש","אריאל זילבר","אריאל זילבר",2012-01-01,388000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:28:28Z,"","The Eight Note",0.677,0.573,9,-12.427,1,0.0466,0.387,0.00555,0.0966,0.96,142.795,4
spotify:track:4ry8eY8jzgdzWT68LxlyiR,"עבדים","נגיעות","ברי סחרוף",1998-12-03,304573,42,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:28:42Z,"מזרחית","NaNa Disc",0.505,0.799,4,-6.333,0,0.0279,0.00135,0.00000635,0.0973,0.39,97.651,4
spotify:track:7GdGGR8ZH4zo3Lck7Ie4fr,"כמה טוב שבאת הביתה","בהופעה חיה (Live)","שלום חנוך",1978-05-01,321800,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:28:58Z,"מזרחית","NMC United Entertainment Ltd.",0.526,0.404,2,-18.53,1,0.0358,0.543,0.00842,0.107,0.445,81.851,4
spotify:track:61v4jFEMas8Ma1C0wK0DEJ,"האיש שראה הכל","האיש שראה הכל","רוקפור",1995-03-01,201493,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:29:58Z,"","Hed Arzi Ltd.",0.325,0.598,5,-11.425,1,0.0354,0.185,0.0326,0.107,0.6,155.438,4
spotify:track:36QzUuFWpPRQpDd40oFcha,"יש בך","החברים של נטאשה","החברים של נטאשה",1989-01-01,131960,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:30:14Z,"מזרחית","Hed Arzi Ltd.",0.499,0.061,7,-18.218,0,0.0336,0.952,0.00000263,0.168,0.171,97.231,4
spotify:track:1YUBNbUWBJkAQyGNCKE9pG,"She'eriot Shel Ha'Chaim (Scraps of Life)","Within My Walls","עידן רייכל;אמיר דדון",2009-01-20,185666,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:30:42Z,"מזרחית","Cumbancha",0.378,0.573,1,-7.389,1,0.0307,0.196,0.000673,0.0942,0.443,171.523,4
spotify:track:4pXJIHc1ngbz8cWY9iwKAW,"רוחות הצפון","קרוב","אהוד בנאי",1989-09-01,295000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-30T12:17:43Z,"מזרחית","NMC United Entertainment Ltd.",0.678,0.676,4,-11.606,1,0.0295,0.273,0,0.0346,0.944,130.108,4
spotify:track:3jsG1Pnk6mP2mbHl98L0Yi,"ניסים","זה לא אותו דבר","עברי לידר",2005-01-01,210586,31,false,0l9aprgeray7lhpnynou763jx,2020-04-30T12:18:26Z,"מזרחית","Helicon Music",0.718,0.574,5,-5.759,0,0.0282,0.235,0,0.276,0.783,102.968,4
spotify:track:52JYMC5gNDsTKuRwG1E36M,"שובי לביתך","התעוררות","שם-טוב לוי",1981-01-01,194000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-30T12:18:39Z,"","Hed Arzi Ltd.",0.522,0.136,9,-18.851,0,0.0285,0.895,0.0000021,0.109,0.167,82.648,4
